Site,pollution,field,bact,algae,daphnid,cytotox non-polar,ER,anti-AR,GR,antibio,DR,PPARg,Nrf2,PXR,p53-
LNM,clean,0.00,0.04,0.00,0.00,0.00,0.04,0.08,0.00,0.00,0.25,0.51,0.41,0.91,0.00
LWP,clean,0.50,0.00,0.00,0.00,0.00,0.03,0.21,0.00,0.07,0.34,0.36,0.41,0.45,0.00
LBH,clean,0.25,0.06,0.00,0.00,0.00,0.02,0.54,0.00,0.00,0.39,0.53,0.58,1.00,0.00
LRW,clean,0.00,0.09,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.27,0.52,0.22,0.50,0.00
PKN,clean,1.50,0.10,0.00,0.00,0.00,0.21,0.04,0.00,0.00,0.25,0.89,0.86,0.50,0.00
LGA,clean,0.00,0.03,0.00,0.00,0.00,0.55,2.36,0.00,0.00,0.10,0.08,0.17,0.19,0.00
LKL,clean,0.00,0.06,0.00,0.00,0.00,0.07,0.11,0.00,0.00,0.23,0.00,0.34,0.43,0.00
RAA,complex,0.00,0.02,0.02,0.17,0.00,0.67,0.47,0.13,0.21,0.74,0.29,0.15,1.23,0.00
RAR,complex,0.00,0.03,0.00,0.10,0.00,0.36,0.26,0.10,0.26,1.24,0.20,0.47,1.28,0.00
LEM,complex,0.50,0.03,0.00,0.07,0.00,3.29,0.46,0.73,0.38,0.68,0.46,0.43,0.45,0.28
GHI,wwtp,1.75,0.02,0.00,0.02,0.00,5.24,0.39,2.26,1.00,0.83,0.34,0.43,1.47,0.44
GBL,wwtp,1.00,0.02,0.00,0.08,0.01,7.80,0.54,1.83,0.45,0.70,0.54,0.39,0.80,0.00
ZL7A,agri,1.00,0.02,0.00,0.17,0.00,0.85,1.14,0.00,0.00,0.31,0.16,0.66,0.71,0.00
WOBA,agri,0.00,0.07,0.00,0.19,0.00,0.46,0.60,0.00,0.11,0.34,0.00,1.59,2.53,0.00
PDBA,agri,0.25,0.10,0.07,0.21,0.00,0.81,0.25,0.00,0.00,1.06,0.00,4.41,2.65,0.00
WEPA,clean,1.50,0.05,0.02,0.02,0.00,0.05,0.20,0.00,0.00,0.30,0.00,1.15,0.84,0.00
AVPA,complex,0.00,0.06,0.05,0.09,0.00,0.14,1.52,0.00,0.00,0.71,0.00,1.67,1.75,0.00
NL4A,agri,0.25,0.02,0.00,0.02,0.00,0.55,1.12,0.00,0.01,0.23,0.00,0.62,0.94,0.00
